"Link","Affiliations","Publisher","Abbreviated Source Title"
"https://www.scopus.com/pages/publications/105006600895?origin=resultslist","Key Laboratory of Advanced Design and Simulation Techniques for Special Equipment, Ministry of Education, Hunan University, Changsha, 410082, China; Department of Reactor Engineering Technology Research, China Institute of Atomic Energy, Beijing, 102400, China","Elsevier Ltd","Energy"
"https://www.scopus.com/pages/publications/85216111737?origin=resultslist","Department of Systems Engineering, City University of Hong Kong, China; School of Management, Xi'an Jiaotong Univeristy, China; Laboratoire Genie Industriel, Universite Paris-Scalay, France; City University of Hong Kong Shenzhen Research Institute, Shenzhen, China","Elsevier Ltd","Reliab Eng Syst Saf"
"https://www.scopus.com/pages/publications/105005401327?origin=resultslist","Department of EEE, ITER, Siksha ‘O‘ Anusandhan University, Odisha, Bhubaneswar, 751030, India","Springer Nature","Discov. appl. sci."
"https://www.scopus.com/pages/publications/105002897223?origin=resultslist","Intelligent Agricultural Equipment Research Institute, Hebei Agricultural University, Baoding, 071001, China; Key Laboratory of Agricultural Big Data of Hebei Province, Hebei Agricultural University, Baoding, 071001, China; School of Computer Science and Engineering, Beihang University, Beijing, 100191, China; School of Electronic Information Engineering, Beihang University, Beijing, 100191, China","Zhejiang University","Front. Inf. Technol. Electr. Eng."
"https://www.scopus.com/pages/publications/85218153323?origin=resultslist","Photonics Research Group, INTEC, Ghent University -, imec, Ghent, 9052, Belgium; IMEC, Kapeldreef 75, Heverlee, 3001, Belgium; IDLab, INTEC, Ghent University -, imec, Ghent, 9052, Belgium","Optica Publishing Group (formerly OSA)","Opt. Express"
"https://www.scopus.com/pages/publications/105033219500?origin=resultslist","Electrical Engineering Aitu, Assiut, Egypt; Sohag University, Electrical Engineering Department, Assiut, Egypt; Sohag University, Electrical Engineering Departement, Sohag, Egypt","Institute of Electrical and Electronics Engineers Inc.","Proc. Int. Middle East Power Syst. Conf., MEPCON"
"https://www.scopus.com/pages/publications/85214585939?origin=resultslist","Advanced Power and Energy Center, Khalifa University of Science and Technology, Abu Dhabi, 127788, United Arab Emirates; Department of Electric Power Engineering, Cairo University, Giza, 12613, Egypt","Elsevier Ltd","Energy"
"https://www.scopus.com/pages/publications/85218702694?origin=resultslist","Faculty of Engineering and Technology, Future University in Egypt (FUE), 5th Settlement, New Cairo, 11835, Egypt","Multidisciplinary Digital Publishing Institute (MDPI)","Appl. Syst. Innov."
"https://www.scopus.com/pages/publications/105011468746?origin=resultslist","Department of Electrical Engineering, Kalyani Government Engineering College, Kalyani, India; Institute of Engineers, Indian Society of Technical Education (ISTE), India; Electrical Engineering Department, Haldia Institute of Technology, Haldia, India; IEI, India; Department of Electrical Engineering, Dr. B. C. Roy Engineering College, Durgapur, India","CRC Press","Next Generation Artificial Intelligence Driven Smart and Renew. Energy"
"https://www.scopus.com/pages/publications/105001171454?origin=resultslist","Department of Engineering, Manchester Metropolitan University, Manchester, M1 5GD, United Kingdom; Department of Electrical and Electronic Engineering Science, University of Johannesburg, Johannesburg, 2006, South Africa; School of Engineering, University of Chichester, Bognor Regis, PO21 1HR, United Kingdom; School of Computer Science and Technology, University of Bedfordshire, Luton, LU1 3JU, United Kingdom; Department of Computer Science, Federal University of Technology, Owerri PMB 1526, Nigeria","Multidisciplinary Digital Publishing Institute (MDPI)","Technol."
